1700,116,6.0,5.533,0.922,0.0,0.944,13,1
1766,156,0.5,0.267,0.534,0.0,0.841,13,1
1749,140,2.143,2.048,0.956,0.0,0.989,16,1
1543,80,0.446,0.19,0.425,0.0,0.874,13,1
1611,118,2.225,2.15,0.966,0.0,0.978,16,1
1614,135,2.146,2.024,0.943,0.0,1.0,16,1
1583,122,2.146,2.049,0.955,0.0,0.989,16,1
1665,98,0.638,0.304,0.477,0.0,0.761,13,1
1702,148,1.517,0.724,0.477,0.0,0.75,13,1
1674,103,2.432,2.297,0.944,0.0,0.956,16,1
1579,125,2.071,1.952,0.943,0.0,0.977,16,1
1748,137,2.75,2.75,1.0,0.0,1.0,16,1
1524,314,1.023,0.534,0.522,0.0,0.9,14,1
1625,127,0.652,0.319,0.489,0.0,0.727,14,1
1608,206,0.598,0.325,0.543,0.0,0.843,14,1
1896,694,1.304,1.203,0.922,0.0,0.933,14,1
1623,191,2.282,2.154,0.944,0.0,0.966,16,1
1786,174,6.429,6.0,0.933,0.0,0.978,13,1
1711,134,3.6,3.6,1.0,0.0,1.0,16,1
328,13,0.089,0.006,0.071,0.0,0.714,16,1
1630,128,2.119,2.024,0.955,0.0,1.0,16,1
1574,139,2.146,2.049,0.955,0.0,0.977,16,1
178,20,1.618,1.109,0.685,0.0,1.0,10,1
1649,156,1.483,0.717,0.483,0.0,0.798,14,1
1602,122,2.697,2.697,1.0,0.0,1.0,16,1
1750,153,2.143,2.071,0.967,0.0,0.978,16,1
1280,180,0.873,0.618,0.708,0.0,0.966,10,1
1709,175,2.143,1.976,0.922,0.0,0.956,16,1
1274,773,0.457,0.457,1.0,0.0,1.0,72,1
1878,89,1.636,0.782,0.478,0.0,0.922,13,1
1767,133,1.956,1.844,0.943,0.0,0.955,16,1
1701,122,0.726,0.368,0.506,0.0,0.741,13,1
1837,113,2.781,2.781,1.0,0.0,1.0,16,1
1799,129,1.796,1.694,0.943,0.0,0.977,16,1
1580,139,2.405,2.297,0.955,0.0,0.966,16,1
1663,158,0.398,0.05,0.125,0.0,0.542,44,1
312,15,0.089,0.006,0.071,0.0,0.571,17,1
1499,487,1.06,0.893,0.843,0.0,0.933,14,1
1717,154,0.664,0.351,0.528,0.0,0.809,13,1
1608,167,1.589,0.75,0.472,0.0,0.82,13,1
1688,137,2.171,2.049,0.944,0.0,0.955,16,1
1635,206,2.342,2.184,0.933,0.0,0.955,16,1
1510,790,1.304,1.203,0.922,0.0,0.956,14,1
1735,111,1.679,0.736,0.438,0.0,0.865,13,1
1792,126,2.119,2.0,0.944,0.0,0.966,16,1
1662,149,0.809,0.391,0.483,0.0,0.876,13,1
1787,116,6.429,6.0,0.933,0.0,1.0,13,1
1551,417,1.162,0.649,0.558,0.0,0.837,14,1
1716,240,0.925,0.699,0.756,0.0,0.942,13,1
1663,136,1.582,0.836,0.529,0.0,0.885,14,1
1801,161,2.095,2.024,0.966,0.0,0.966,16,1
1560,150,2.143,2.0,0.933,0.0,0.967,16,1
1553,115,6.429,6.286,0.978,0.0,0.989,13,1
1715,137,1.854,1.75,0.944,0.0,0.989,16,1
1562,158,0.494,0.261,0.529,0.0,0.862,17,1
1724,148,2.171,2.024,0.933,0.0,0.966,16,1
1692,127,0.85,0.4,0.471,0.0,0.812,13,1
1513,577,1.304,1.101,0.844,0.0,0.889,16,1
1759,169,2.119,2.0,0.944,0.0,0.989,16,1
1646,142,0.744,0.355,0.478,0.0,0.733,14,1
1512,147,2.812,2.469,0.878,0.0,0.911,16,1
1550,521,1.048,0.893,0.852,0.0,0.943,14,1
1726,184,1.679,0.849,0.506,0.0,0.764,13,1
1599,115,0.87,0.43,0.494,0.0,0.839,13,1
1741,136,0.455,0.217,0.478,0.0,0.822,14,1
1662,142,1.561,0.754,0.483,0.0,0.764,14,1
1799,97,1.623,0.811,0.5,0.0,0.907,14,1
1801,150,1.571,0.786,0.5,0.0,0.852,14,1
1818,193,2.282,2.179,0.955,0.0,0.978,16,1
1787,99,6.846,6.692,0.978,0.0,1.0,14,1
1788,167,2.143,2.0,0.933,0.0,0.944,16,1
230,43,2.143,2.143,1.0,0.0,1.0,10,1
1851,176,2.093,1.953,0.933,0.0,0.956,16,1
1621,156,2.146,2.049,0.955,0.0,0.989,16,1
1633,143,2.093,2.0,0.956,0.0,0.967,16,1
1922,173,6.429,5.929,0.922,0.0,0.967,14,1
1676,126,3.214,3.214,1.0,0.0,1.0,16,1
1806,149,3.423,3.423,1.0,0.0,1.0,16,1
1621,211,2.308,2.154,0.933,0.0,0.944,16,1
1601,144,6.429,6.143,0.956,0.0,0.967,13,1
1563,138,2.171,2.049,0.944,0.0,0.989,16,1
1723,126,3.214,3.214,1.0,0.0,1.0,16,1
1826,184,2.07,1.93,0.933,0.0,0.978,16,1
1566,120,2.225,2.125,0.955,0.0,0.955,16,1
1767,123,0.377,0.158,0.42,0.0,0.704,13,1
1675,140,1.755,1.224,0.698,0.0,0.837,14,1
1709,151,1.582,0.782,0.494,0.0,0.862,14,1
1635,119,3.179,3.179,1.0,0.0,1.0,16,1
1513,125,1.125,0.45,0.4,0.0,0.989,22,1
299,43,2.143,2.143,1.0,0.0,1.0,10,1
1526,114,0.439,0.182,0.414,0.0,0.862,16,1
1747,129,2.143,2.048,0.956,0.0,0.978,16,1
